Title,Rating,Votes,Duration,Genre
Anora,7.6,150000,139.0,Romance
Wicked,7.5,141000,160.0,Romance
Babygirl,6.0,47000,114.0,Romance
It Ends with Us,6.4,81000,130.0,Romance
We Live in Time,7.0,48000,108.0,Romance
The Count of Monte-Cristo,7.6,32000,178.0,Romance
Queer,6.5,18000,137.0,Romance
The Fall Guy,6.8,216000,126.0,Romance
F*** Marry Kill,5.2,1800,97.0,Romance
The Crow,4.7,32000,111.0,Romance
Fly Me to the Moon,6.6,48000,132.0,Romance
Love Lies Bleeding,6.6,56000,104.0,Romance
My Old Ass,6.9,37000,89.0,Romance
The Idea of You,6.3,72000,115.0,Romance
All We Imagine as Light,7.1,8900,118.0,Romance
A Family Affair,5.3,36000,111.0,Romance
Sidelined: The QB and Me,5.9,3500,99.0,Romance
Culpa Tuya,5.2,12000,118.0,Romance
Beating Hearts,7.0,4000,166.0,Romance
Your Monster,6.4,5400,103.0,Romance
Jane Austen Wrecked My Life,6.5,151,94.0,Romance
Killer Heat,5.6,13000,95.0,Romance
Guilty Pleasure,5.5,73,119.0,Romance
Emmanuelle,4.2,1500,107.0,Romance
Loveable,8.1,1300,101.0,Romance
Young Woman and the Sea,7.5,17000,129.0,Romance
Lonely Planet,5.7,11000,94.0,Romance
A Nice Indian Boy,7.2,149,96.0,Romance
Grafted,5.6,2000,96.0,Romance
Find Me Falling,6.3,12000,93.0,Romance
Love Me,5.2,2200,91.0,Romance
Someone Like You,5.8,2000,118.0,Romance
Upgraded,6.1,29000,104.0,Romance
Boot Camp,5.8,1000,94.0,Romance
La Cocina,7.2,2300,139.0,Romance
Lisa Frankenstein,6.1,28000,101.0,Romance
We're All Gonna Die,8.4,79,110.0,Romance
The Tearsmith,5.2,12000,103.0,Romance
Touch,7.4,5200,121.0,Romance
Mother of the Bride,4.8,17000,88.0,Romance
Die Alone,5.7,2600,91.0,Romance
Girl Haunts Boy,6.3,2800,100.0,Romance
Mon Potongo,6.6,128,149.0,Romance
Lilies Not for Me,7.8,75,99.0,Romance
Irish Wish,5.2,21000,93.0,Romance
Chosen Family,4.6,258,88.0,Romance
Winter Spring Summer or Fall,6.5,386,97.0,Romance
Players,5.7,12000,105.0,Romance
Swap,3.0,326,86.0,Romance
Our Little Secret,5.7,23000,101.0,Romance
Five Blind Dates,5.1,1900,83.0,Romance
The Dead Thing,4.7,808,94.0,Romance
Ask Me What You Want,3.6,312,114.0,Romance
My Favourite Cake,7.4,6900,97.0,Romance
Grand Tour,6.5,1400,128.0,Romance
Girls Will Be Girls,7.1,2300,118.0,Romance
The Best Christmas Pageant Ever,6.8,6000,99.0,Romance
Lick,6.3,719,75.0,Romance
Turn Me On,5.6,436,99.0,Romance
Role Play,5.5,19000,100.0,Romance
How to Date Billy Walsh,5.2,3900,98.0,Romance
Turtles All the Way Down,6.6,6800,111.0,Romance
Beautiful Wedding,4.1,4100,100.0,Romance
Vulgar,6.7,103,103.0,Romance
The Merry Gentlemen,4.8,10000,87.0,Romance
Gone Running,7.1,3800,105.0,Romance
City Hunter,6.3,5500,102.0,Romance
Pedro Páramo,6.3,2800,130.0,Romance
The Greatest Hits,6.2,7200,94.0,Romance
This Is Me... Now,4.1,7100,65.0,Romance
This Time Next Year,5.6,2100,116.0,Romance
You Are the Apple of My Eye,7.6,3300,101.0,Romance
Through My Window: Looking at You,5.4,5000,105.0,Romance
Take My Hand,6.3,282,102.0,Romance
Romance on the Ranch,6.8,288,88.0,Romance
Darkest Miriam,6.9,29,87.0,Romance
Hot Frosty,5.3,14000,92.0,Romance
Marmalade,6.2,3500,99.0,Romance
High Tide,6.6,488,101.0,Romance
Wallbanger,5.7,640,118.0,Romance
Three Friends,6.6,601,117.0,Romance
Timestalker,5.5,2800,89.0,Romance
The Astronaut Lovers,7.1,548,116.0,Romance
A True Gentleman,4.5,2000,110.0,Romance
The Silence of Marcos Tremmer,6.0,128,112.0,Romance
Cinderella's Curse,3.3,1300,82.0,Romance
Plan B,5.9,1100,90.0,Romance
Premalu,7.8,19000,156.0,Romance
Qalb,6.6,2300,147.0,Romance
Amar Singh Chamkila,7.8,16000,145.0,Romance
5lbs of Pressure,5.3,1600,111.0,Romance
Freedom,5.9,1300,110.0,Romance
The Family Star,5.4,5400,159.0,Romance
I Can Never Be Yours,8.7,123,0.0,Romance
Sex,6.7,858,125.0,Romance
Young Werther,5.7,202,101.0,Romance
Love in the Big City,7.5,1300,118.0,Romance
Cinderella's Revenge,3.7,1100,85.0,Romance
Layla,6.1,329,100.0,Romance
The Air He Breathes,6.4,357,106.0,Romance
The Southern Chronicles,8.8,2300,120.0,Romance
Drained,4.6,288,107.0,Romance
Perfect Endings,5.5,184,100.0,Romance
The Groomsmen: First Look,6.1,377,82.0,Romance
The Lifeguards,3.9,136,107.0,Romance
Two to One,6.0,690,116.0,Romance
Savi,6.2,35000,126.0,Romance
Love,7.3,265,119.0,Romance
Now or Never!,2.1,17000,0.0,Romance
Teri Baaton Mein Aisa Uljha Jiya,6.2,54000,141.0,Romance
My Name Is Loh Kiwan,6.7,4300,131.0,Romance
Christmas Cowboy,6.8,99,0.0,Romance
Haunted Heart,4.8,452,128.0,Romance
Still Fabulous,4.9,839,92.0,Romance
The Glassworker,7.5,1500,98.0,Romance
Her Story,7.7,1700,123.0,Romance
Bonjour Tristesse,6.0,84,110.0,Romance
The Groomsmen Last Dance,6.9,332,0.0,Romance
Another End,6.5,703,129.0,Romance
Música,6.4,5000,91.0,Romance
Uranus 2324,6.6,4700,130.0,Romance
Books & Drinks,6.5,75,94.0,Romance
Previously Saved Version,5.5,400,117.0,Romance
Langue Étrangère,6.7,476,101.0,Romance
Intoxicated by Love,8.5,12000,118.0,Romance
The Private Eye,3.6,126,115.0,Romance
Bau: Artist at War,7.1,52,130.0,Romance
Private Tutor,4.9,182,65.0,Romance
"Hello, Love, Again",6.8,790,122.0,Romance
Good Bad Things,5.8,187,96.0,Romance
Meet Me Next Christmas,5.7,8400,105.0,Romance
No Pressure,5.1,1100,111.0,Romance
Eks,4.5,183,121.0,Romance
Karma's a Bitch,5.0,31,89.0,Romance
Wild Wild Punjab,6.2,15000,109.0,Romance
Daniela Forever,6.3,199,113.0,Romance
Futra Days,4.1,138,99.0,Romance
Love Across Time,7.2,384,0.0,Romance
From Contract Lover to the Billionaire's Bride,7.1,491,84.0,Romance
"Love, Divided",5.9,4500,98.0,Romance
Love Reddy,8.2,2300,138.0,Romance
Mr. Manhattan,6.7,430,110.0,Romance
Passport to Love,6.2,393,88.0,Romance
Undergrads,5.6,41,66.0,Romance
Believe in Christmas,6.1,820,90.0,Romance
Stag,5.1,109,87.0,Romance
A Christmas Castle Proposal: A Royal in Paradise 2,6.4,325,0.0,Romance
Breakup Season,5.8,303,102.0,Romance
The Holiday Junkie,6.3,440,88.0,Romance
The Groomsmen: Second Chances,6.1,424,84.0,Romance
Mascarpone: The Rainbow Cake,6.1,476,105.0,Romance
Bad Newz,4.7,26000,142.0,Romance
18×2 Beyond Youthful Days,7.3,1800,123.0,Romance
Why Do You?,5.4,397,103.0,Romance
Duino,8.3,99,108.0,Romance
Rasavathi,6.4,553,148.0,Romance
Bachhala Malli,8.3,3900,140.0,Romance
Lesbian Space Princess,8.1,96,87.0,Romance
He Loves Me Not,6.9,49,0.0,Romance
Murder Mubarak,5.8,51000,140.0,Romance
Super Happy Forever,6.9,165,94.0,Romance
She Taught Love,5.2,401,102.0,Romance
Gharjwai,8.7,807,134.0,Romance
Sicilian Holiday,4.9,12,102.0,Romance
Drawing Closer,7.6,2400,118.0,Romance
Phir Aayi Hasseen Dillruba,5.8,6700,132.0,Romance
Pure Love,9.1,94,109.0,Romance
Switch Up,8.6,27,105.0,Romance
Love's Second Act,5.4,185,0.0,Romance
Ashes,4.3,2500,100.0,Romance
A Circus Tale & a Love Song,5.9,102,114.0,Romance
The Architecture of Love,6.9,474,110.0,Romance
Meet Me in Rome,5.1,477,85.0,Romance
Else,6.1,223,100.0,Romance
A '90s Christmas,6.0,1100,90.0,Romance
Say a Little Prayer,8.4,41,103.0,Romance
Auron Mein Kahan Dum Tha,6.6,40000,150.0,Romance
Snatched a Billionaire to Be My Husband,7.6,649,70.0,Romance
C4 Cinta,8.6,117,167.0,Romance
Art of Love,4.6,2300,99.0,Romance
Shrek 5: The Contract - A Fan Made Film,7.0,18,84.0,Romance
White Snake: Afloat,6.9,429,133.0,Romance
The Holiday Exchange,5.6,400,90.0,Romance
Blue Sun Palace,6.5,115,116.0,Romance
O Melhor Amigo,7.5,27,96.0,Romance
Chainsaws Were Singing,7.2,341,117.0,Romance
Christmas in the Spotlight,5.8,659,87.0,Romance
Gelin Takimi,2.4,1700,109.0,Romance
Hear Me: Our Summer,7.5,610,109.0,Romance
Albany Road,7.7,107,135.0,Romance
Wanted: Girlfriend,4.1,216,49.0,Romance
0000 Kilometre,2.9,121,110.0,Romance
Ajosepo,8.7,52,134.0,Romance
Marry Christmas,6.9,57,85.0,Romance
The Glory of Life,6.6,420,98.0,Romance
Ipar Adalah Maut,7.0,1200,131.0,Romance
Love Switch,6.0,223,89.0,Romance
A Toast to Love,6.1,108,89.0,Romance
Goyo,6.6,2200,106.0,Romance
Mr. Bachchan,3.6,5200,150.0,Romance
When in Rome,6.1,724,98.0,Romance
Love... Reconsidered,4.3,128,88.0,Romance
Swoon,6.0,13,83.0,Romance
Don't Say It,8.8,33,0.0,Romance
Trisha on the Rocks,5.2,3000,172.0,Romance
The Everything Pot,7.4,29,90.0,Romance
Do Aur Do Pyaar,6.4,12000,140.0,Romance
Dandelion,5.3,386,113.0,Romance
¿Vienes o Voy?,6.7,15,94.0,Romance
Shigatsu ni nareba kanojo wa,6.2,417,108.0,Romance
Sex Love Venice,4.4,308,102.0,Romance
Tillu Square,6.6,3400,137.0,Romance
Addition,8.2,29,91.0,Romance
The Swedish Torpedo,6.4,133,120.0,Romance
The Time of Fever,8.0,621,101.0,Romance
Alterlove,0.0,0,90.0,Romance
Viva La Vida,7.6,789,130.0,Romance
Beauty and the Billionaire: Bali,5.9,190,91.0,Romance
A Vintage Christmas,6.5,350,0.0,Romance
Verliefd op Bali,5.1,290,113.0,Romance
Boys on Film 24: Happy Endings,6.9,26,174.0,Romance
El Roomie,5.8,302,99.0,Romance
Umjolo: The Gone Girl,4.4,263,92.0,Romance
Siddharth Roy,6.4,2900,148.0,Romance
Writing a Love Song,6.7,174,85.0,Romance
A European Christmas,4.7,184,90.0,Romance
Love at 39 Degrees,5.5,1300,115.0,Romance
A Man's Promise,7.2,42,0.0,Romance
Mai,6.8,1500,131.0,Romance
Kupu-Kupu Kertas,7.0,113,113.0,Romance
Perfect Match,6.6,333,101.0,Romance
First Taste,4.5,150,97.0,Romance
Every You Every Me,6.6,134,108.0,Romance
Kill Me If You Dare,4.6,1300,94.0,Romance
Ahl Al Kahf,5.2,237,120.0,Romance
Given 3: To the Sea,8.0,9,80.0,Romance
Once Upon a Christmas Wish,6.1,313,90.0,Romance
Seven Seas Seven Hills,8.6,85,90.0,Romance
Los pequeños amores,6.3,345,95.0,Romance
Ek Anjaan Rishtey Ka Guilt 3,8.0,67,104.0,Romance
Krista,5.6,44,58.0,Romance
"Aire, Just Breathe",4.7,185,98.0,Romance
Miss You,6.2,3100,128.0,Romance
Dilan 1983,6.7,203,116.0,Romance
Reloaded 2,8.0,1000,45.0,Romance
In Good Hands 2,5.3,918,99.0,Romance
El Hawa Sultan,6.6,624,136.0,Romance
Meeting Ms. Leigh,9.2,76,117.0,Romance
Love Syndrome: The Beginning,6.0,49,90.0,Romance
À toute allure,5.3,157,86.0,Romance
Love Li,6.5,13000,168.0,Romance
Detective Conan: The Million-Dollar Pentagram,6.8,1400,111.0,Romance
Anyone But Her,4.9,275,93.0,Romance
Black Tea,5.2,530,110.0,Romance
Seni Memahami Kekasih,8.0,59,91.0,Romance
Stranded Pearl,6.0,27,90.0,Romance
Queens of Drama,6.4,170,114.0,Romance
The Great Gujarati Matrimony,7.9,78,144.0,Romance
Love You to Debt,6.2,747,135.0,Romance
Looking for Dr. Love,6.0,122,85.0,Romance
Fruitcake,5.4,118,97.0,Romance
3391 Kilometres,4.2,1100,110.0,Romance
A Merry Royal Christmas,5.2,141,88.0,Romance
Premalo,7.3,1100,128.0,Romance
You Are Not Alone,6.2,61,105.0,Romance
Dhruvathaare,8.3,646,165.0,Romance
Paper Flowers,9.1,29,100.0,Romance
What Happened in My Black Boyfriend's Room,4.8,8,62.0,Romance
One Night in Tokyo,8.1,37,95.0,Romance
Love Story,4.9,387,125.0,Romance
"LSD 2: Love, Sex Aur Dhokha 2",3.8,2800,119.0,Romance
Three Secrets,4.4,47,92.0,Romance
Nado snimat filmy o lyubvi,7.8,29,73.0,Romance
Under Parallel Skies,5.6,779,110.0,Romance
Christmas at Plumhill Manor,6.1,496,87.0,Romance
That Kind of Love,5.8,299,136.0,Romance
Prabuthwa Junior Kalashala,7.2,2100,131.0,Romance
Sweet Summer Love,6.5,59,90.0,Romance
Heartsping : Teenieping of Love,6.9,21,0.0,Romance
"María, Me Muero",5.3,69,93.0,Romance
Vaagai,8.8,185,119.0,Romance
Rose Rosy Te Gulab,5.8,295,135.0,Romance
Addy Daddy,7.8,25,118.0,Romance
DreadClub: Vampire's Verdict,5.2,55,0.0,Romance
Explosions in My Heart,6.7,33,105.0,Romance
Kisko Tha Pata,7.4,14,135.0,Romance
Rokjesnacht,4.9,216,95.0,Romance
Honeymoonish,5.3,1500,100.0,Romance
Life is Filled with So Much of You,8.1,14,99.0,Romance
Morando com o Crush,5.4,166,90.0,Romance
Hrashwo Deergha,7.9,79,150.0,Romance
My Ex's Wedding,8.5,43,95.0,Romance
Kahan Shuru Kahan Khatam,6.2,3100,107.0,Romance
My Boyfriend Is a Sex Worker,4.8,13,50.0,Romance
A Fragile Flower,8.5,1600,96.0,Romance
The Property,7.6,51,110.0,Romance
Across the Sea,6.4,64,112.0,Romance
Neelofar,8.7,14,0.0,Romance
L'heureuse élue,5.3,198,91.0,Romance
Perdiendo el Juicio,7.2,17,0.0,Romance
Kang Mak,6.4,760,122.0,Romance
Sihinayaki Adare,6.5,183,150.0,Romance
Maple Leaf Dreams,4.6,76,101.0,Romance
"Aku Jati, Aku Asperger",8.6,16,88.0,Romance
Yolki 11,4.7,163,92.0,Romance
Yuva,5.8,834,153.0,Romance
More na dvoikh,5.6,19,82.0,Romance
Movie Given Hiiragi Mix.,7.4,135,70.0,Romance
Lyubvi ne byvaet?,5.4,152,105.0,Romance
Joy of Horses,5.8,160,90.0,Romance
Mor Chhainha Bhuinya 2,8.3,60,160.0,Romance
Mi Perfecto Ex,7.4,18,83.0,Romance
Occupied,0.0,0,77.0,Romance
Ma chi ti conosce,5.9,128,105.0,Romance
Varshangalkku Shesham,6.6,4100,166.0,Romance
Moments We Shared,5.5,119,131.0,Romance
Game On,5.3,2300,140.0,Romance
Saint Nick of Bethlehem,9.3,96,93.0,Romance
I Am the Secret in Your Heart,6.0,178,112.0,Romance
"Extraction, USA",7.5,51,0.0,Romance
Badaa Saat Fi Yawman Ma,6.3,87,100.0,Romance
Emakku Thozhil Romance,4.9,117,111.0,Romance
The Holiday Club,6.6,345,88.0,Romance
Poppay Ki Wedding,8.8,75,127.0,Romance
Amaltash,8.1,144,113.0,Romance
"It's So Big It Hurts, Black Oppa",5.0,8,61.0,Romance
Little Hearts,5.8,2200,136.0,Romance
Funmilayo Ransome-Kuti,8.5,93,91.0,Romance
Koi wo Shiranai Bokutachi wa,0.0,0,111.0,Romance
Christmas on the Ranch,6.1,136,86.0,Romance
A Country Music Christmas,6.5,97,0.0,Romance
Powder Pup,6.2,73,89.0,Romance
Santa's Cousin,7.9,25,0.0,Romance
Double Blended,5.5,51,87.0,Romance
Last Song for You,7.3,89,110.0,Romance
Lula Leblanc,7.1,37,96.0,Romance
Ondu Sarala Prema Kathe,7.5,711,149.0,Romance
Pranaya Godari,7.8,2400,148.0,Romance
Mercy Killing,8.7,2700,131.0,Romance
Love Stuck,5.6,151,116.0,Romance
Shooting My Life's Script,6.2,332,95.0,Romance
Khwaabon Ka Jhamela,6.1,105,113.0,Romance
Enchanting Christmas,6.4,348,91.0,Romance
Nie Xiaoqian,6.4,15,112.0,Romance
Goreyan Naal Lagdi Zameen Jatt Di,7.7,27,108.0,Romance
A Bluegrass Christmas,6.0,227,84.0,Romance
To potami,6.6,13,93.0,Romance
"Chances Are, You and I",6.1,104,132.0,Romance
Samana Sunrise,6.5,61,100.0,Romance
Ram Bharosey,9.5,33,0.0,Romance
Honey Money Phony,6.2,168,115.0,Romance
Letuchiy korabl,3.8,290,100.0,Romance
Holiday for Hire,5.8,187,84.0,Romance
Coven of the Black Cube,8.3,18,97.0,Romance
Visal Adare,5.9,138,120.0,Romance
"Love, Sitara",5.3,295,105.0,Romance
Love Is Never on Time,8.9,57,110.0,Romance
The Heartbreak Agency,5.3,710,94.0,Romance
I Don't Know,0.0,0,98.0,Romance
Heartbreak Motel,7.0,287,115.0,Romance
"Fool Me Once, Revenge on You",7.0,8,0.0,Romance
Jatt & Juliet 3,5.4,1800,135.0,Romance
Election,5.9,807,120.0,Romance
Yo no soy esa,4.9,270,95.0,Romance
Teasing Master Takagi-san Movie,6.7,279,119.0,Romance
Eating Me Up,8.6,289,104.0,Romance
Kajolrekha,6.3,170,156.0,Romance
Éden & Charlie,8.3,8,45.0,Romance
This Is Not A Love Song,7.1,26,72.0,Romance
Land of Broken Hearts,6.3,179,100.0,Romance
Letters at Christmas,3.7,168,84.0,Romance
Artist Unknown,9.2,11,82.0,Romance
Do I Shock U Like Lightning,9.2,18,97.0,Romance
Penguin Girl,6.8,5,98.0,Romance
Soft Love,6.6,34,114.0,Romance
Fragments of Us,8.3,8,49.0,Romance
Christmas Overtime,5.2,20,92.0,Romance
Onegin,7.0,1200,141.0,Romance
Miracle Mile,8.7,27,82.0,Romance
Hold Me Close,6.6,9,98.0,Romance
Lyod 3,6.0,294,134.0,Romance
Silent Love,6.3,337,116.0,Romance
Sevmek Yüzünden,3.6,615,104.0,Romance
Lady Outlaw,6.8,16,104.0,Romance
Kagojer Bou,6.0,24,112.0,Romance
Lyubov Sovetskogo Soyuza,5.1,245,150.0,Romance
My Boo,6.1,653,125.0,Romance
Valentine's Town,5.3,183,84.0,Romance
"Dao, Pho Va Piano",5.9,189,100.0,Romance
Marriage Mansion,9.1,23,0.0,Romance
Nikdo me nemá rád,5.8,37,84.0,Romance
Future Date,6.6,120,82.0,Romance
Bad Boy's Security,0.0,0,82.0,Romance
The Day Before Christmas,8.1,60,0.0,Romance
Young Lion of the West,8.1,106,93.0,Romance
Komandir,6.3,513,131.0,Romance
Petta Rap,4.2,1700,123.0,Romance
Svemu dodje kraj,6.7,251,89.0,Romance
Sign Here,6.2,242,100.0,Romance
Ye xiao nü sheng,7.4,27,110.0,Romance
Un/Happy for You,5.6,342,110.0,Romance
Momma's Boy,3.8,47,105.0,Romance
14 Days Love,7.5,8,112.0,Romance
Lobola Man,4.6,201,108.0,Romance
Sunlight,7.9,17,96.0,Romance
Her Seyin Basi Merkür,3.6,144,105.0,Romance
Undying,6.7,13,26.0,Romance
Jee Ve Sohneya Jee,6.7,260,141.0,Romance
Once Upon a Honeymoon,6.8,21,109.0,Romance
Because I Love Bad Weather,6.2,130,100.0,Romance
36-24-36,6.1,204,118.0,Romance
Honeko Akabane's Bodyguards,5.9,35,117.0,Romance
Muse,0.0,0,69.0,Romance
Life Hotel,6.6,150,118.0,Romance
PAPmusic - Animation for Fashion,1.0,124,85.0,Romance
Love Me If You Dare,4.3,470,128.0,Romance
The Untold Story,6.4,17,0.0,Romance
Could Have Waited for August,6.2,830,112.0,Romance
Teriyaan Meriyaan Hera Pheriyan,6.7,75,125.0,Romance
3. Gun,3.9,132,0.0,Romance
Yumi's Cells: The Movie,6.2,48,93.0,Romance
A Christmas of Wonders,4.8,120,86.0,Romance
Morena,7.8,62,106.0,Romance
Keshava Chandra Ramavath,6.7,76,133.0,Romance
Babli,6.8,565,134.0,Romance
Table for Six 2,5.4,312,133.0,Romance
Günesi Söndürmem Gerek,3.5,178,105.0,Romance
Rajkumar,7.3,2600,145.0,Romance
Our Church Thinks We're Dating,7.5,59,102.0,Romance
Pretty Boys,5.4,33,67.0,Romance
Unn Sawali,7.9,11,0.0,Romance
Chanchal Haseena,7.2,34,98.0,Romance
Shark Island,4.0,114,81.0,Romance
A Ghetto Love Story,9.8,10,0.0,Romance
Allahr Vres,8.6,16,135.0,Romance
The Proud Princess,7.1,98,84.0,Romance
O2,6.7,7900,105.0,Romance
Gili Gili Raat,5.7,12,93.0,Romance
Dreaming of You,8.5,24,95.0,Romance
Traces of Love,6.5,901,105.0,Romance
Elle & lui & le reste du monde,5.7,106,85.0,Romance
Der Junge dem die Welt gehört,7.9,76,96.0,Romance
On the Market,0.0,0,95.0,Romance
Pantaskah Aku Berhijab,8.1,16,114.0,Romance
Kuch Sapney Apne,8.0,47,120.0,Romance
Romance with My Vampire Brother,7.4,10,0.0,Romance
Tendaberry,6.8,35,115.0,Romance
All's Fair in Love,6.3,16,115.0,Romance
My Future You,8.5,45,109.0,Romance
We Are Tourists,0.0,0,97.0,Romance
Lost & Found You,6.9,16,0.0,Romance
Advent,7.5,6,119.0,Romance
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9,83,138.0,Romance
Honeymoon Express,8.4,2100,118.0,Romance
Hearts Creek,5.8,114,90.0,Romance
Gingersnap Christmas,4.6,26,0.0,Romance
My Sassy Girl,5.2,109,117.0,Romance
The Little Things,7.7,39,90.0,Romance
Aaram Aravinda Swamy,9.4,327,132.0,Romance
My Zombabe,5.1,78,105.0,Romance
